lat_round,lon_round,count
41.733,-87.574,2
41.733,-87.568,1
41.733,-87.555,1
41.733,-87.551,2
41.733,-87.55,1
41.733,-87.547,1
41.734,-87.67,1
41.734,-87.668,2
41.734,-87.658,1
41.734,-87.652,1
41.734,-87.65,1
41.734,-87.614,1
41.734,-87.589,1
41.734,-87.561,1
41.735,-87.741,1
41.735,-87.713,1
41.735,-87.704,1
41.735,-87.703,1
41.735,-87.663,4
41.735,-87.658,1
41.735,-87.657,1
41.735,-87.656,2
41.735,-87.653,1
41.735,-87.651,1
41.735,-87.645,1
41.735,-87.644,2
41.735,-87.641,1
41.735,-87.632,1
41.735,-87.623,1
41.735,-87.601,1
41.735,-87.591,1
41.735,-87.554,1
41.735,-87.553,1
41.735,-87.551,1
41.736,-87.702,2
41.736,-87.673,1
41.736,-87.663,2
41.736,-87.662,1
41.736,-87.66,1
41.736,-87.659,3
41.736,-87.658,1
41.736,-87.657,1
41.736,-87.654,1
41.736,-87.65,1
41.736,-87.649,2
41.736,-87.648,2
41.736,-87.646,1
41.736,-87.645,1
41.736,-87.644,2
41.736,-87.638,1
41.736,-87.637,1
41.736,-87.63,1
41.736,-87.629,6
41.736,-87.628,15
41.736,-87.627,3
41.736,-87.625,5
41.736,-87.624,5
41.736,-87.623,3
41.736,-87.618,1
41.736,-87.615,2
41.736,-87.605,2
41.736,-87.586,2
41.736,-87.585,1
41.736,-87.561,1
41.736,-87.557,1
41.737,-87.719,1
41.737,-87.669,1
41.737,-87.666,1
41.737,-87.663,3
41.737,-87.657,1
41.737,-87.656,1
41.737,-87.649,3
41.737,-87.638,1
41.737,-87.623,1
41.737,-87.619,1
41.737,-87.608,1
41.737,-87.607,1
41.737,-87.605,3
41.737,-87.602,1
41.737,-87.601,1
41.737,-87.587,1
41.737,-87.584,2
41.737,-87.582,1
41.737,-87.578,1
41.737,-87.576,2
41.737,-87.575,1
41.737,-87.562,1
41.737,-87.557,2
41.737,-87.556,2
41.737,-87.553,1
41.737,-87.552,1
41.737,-87.551,5
41.737,-87.546,2
41.738,-87.728,1
41.738,-87.726,1
41.738,-87.663,1
41.738,-87.661,2
41.738,-87.642,1
41.738,-87.61,1
41.738,-87.609,1
41.738,-87.605,1
41.738,-87.585,2
41.738,-87.579,1
41.738,-87.551,2
41.739,-87.736,1
41.739,-87.722,2
41.739,-87.696,1
41.739,-87.692,1
41.739,-87.665,1
41.739,-87.664,1
41.739,-87.661,1
41.739,-87.653,1
41.739,-87.651,1
41.739,-87.649,1
41.739,-87.647,1
41.739,-87.641,1
41.739,-87.64,1
41.739,-87.639,1
41.739,-87.613,1
41.739,-87.61,1
41.739,-87.605,2
41.739,-87.593,1
41.739,-87.586,2
41.739,-87.554,1
41.739,-87.551,1
41.739,-87.549,1
41.74,-87.74,1
41.74,-87.728,1
41.74,-87.718,1
41.74,-87.713,1
41.74,-87.702,1
41.74,-87.647,2
41.74,-87.644,1
41.74,-87.638,1
41.74,-87.616,2
41.74,-87.615,1
41.74,-87.605,6
41.74,-87.596,1
41.74,-87.579,1
41.74,-87.566,1
41.74,-87.561,1
41.741,-87.722,2
41.741,-87.715,1
41.741,-87.714,1
41.741,-87.707,1
41.741,-87.705,1
41.741,-87.698,1
41.741,-87.677,1
41.741,-87.656,1
41.741,-87.652,1
41.741,-87.651,1
41.741,-87.649,1
41.741,-87.645,1
41.741,-87.638,1
41.741,-87.61,1
41.741,-87.586,1
41.741,-87.569,1
41.741,-87.545,1
41.742,-87.722,1
41.742,-87.703,1
41.742,-87.702,1
41.742,-87.698,1
41.742,-87.677,1
41.742,-87.641,1
41.742,-87.617,3
41.742,-87.607,1
41.742,-87.605,1
41.742,-87.604,1
41.742,-87.584,1
41.742,-87.581,1
41.742,-87.576,1
41.742,-87.569,1
41.742,-87.562,1
41.742,-87.559,1
41.743,-87.737,1
41.743,-87.72,1
41.743,-87.699,1
41.743,-87.688,1
41.743,-87.679,1
41.743,-87.664,2
41.743,-87.663,2
41.743,-87.66,1
41.743,-87.658,1
41.743,-87.657,1
41.743,-87.654,1
41.743,-87.649,1
41.743,-87.647,1
41.743,-87.646,1
41.743,-87.645,1
41.743,-87.644,2
41.743,-87.637,1
41.743,-87.634,6
41.743,-87.632,1
41.743,-87.624,1
41.743,-87.618,1
41.743,-87.615,2
41.743,-87.611,2
41.743,-87.605,5
41.743,-87.601,1
41.743,-87.572,1
41.743,-87.556,1
41.743,-87.548,1
41.744,-87.719,1
41.744,-87.702,1
41.744,-87.692,1
41.744,-87.69,1
41.744,-87.664,1
41.744,-87.663,2
41.744,-87.66,1
41.744,-87.646,1
41.744,-87.644,1
41.744,-87.634,1
41.744,-87.633,1
41.744,-87.632,3
41.744,-87.631,1
41.744,-87.605,2
41.744,-87.603,1
41.744,-87.601,1
41.744,-87.586,1
41.744,-87.576,1
41.744,-87.575,1
41.744,-87.566,1
41.744,-87.56,1
41.744,-87.553,1
41.744,-87.551,1
41.744,-87.545,1
41.745,-87.741,1
41.745,-87.735,2
41.745,-87.722,3
41.745,-87.702,2
41.745,-87.67,1
41.745,-87.665,1
41.745,-87.655,1
41.745,-87.654,1
41.745,-87.652,1
